user_id,product_id,click_timestamp,click,purchase,product_type,user_location,user_age,user_gender,product_price,product_rating,session_id,time_on_page
2598,810,2024-01-09 09:24:00,0,0,Toys,Chennai,48,Female,5009.69,3.5,97531,64.75
2406,885,2024-12-14 20:09:00,1,0,Home,Mumbai,20,Female,5778.69,3.5,85390,264.52
3926,446,2024-05-09 05:15:00,1,1,Electronics,Kolkata,52,Male,6838.41,3.6,28053,279.03
4211,168,2024-12-25 02:13:00,0,0,Home,Chennai,24,Male,9714.2,4.6,79301,15.97
2810,738,2024-04-02 05:47:00,1,0,Books,Mumbai,40,Male,5425.25,4.2,63404,87.57
1818,516,2024-07-23 18:53:00,1,0,Toys,Chennai,52,Male,8667.55,1.1,25217,142.76
1614,810,2024-03-24 07:52:00,1,0,Books,Bangalore,59,Female,3845.9,4.7,16867,223.53
4740,521,2024-08-05 17:38:00,1,0,Electronics,Delhi,54,Male,2310.4,3.8,33738,250.85
2972,338,2024-08-11 20:58:00,1,0,Electronics,Mumbai,54,Male,7381.58,2.4,89700,176.96
2568,412,2024-10-30 23:36:00,0,0,Toys,Kolkata,35,Male,6265.85,1.7,82350,241.3
2289,437,2024-09-12 05:45:00,1,0,Books,Bangalore,30,Female,1868.7,2.0,81654,117.93
1039,163,2024-09-22 13:27:00,1,0,Clothing,Kolkata,29,Male,3274.93,2.8,94358,73.48
3833,102,2024-07-06 09:15:00,0,0,Clothing,Delhi,31,Female,685.37,4.9,21092,283.19
3513,402,2024-09-10 02:00:00,1,0,Toys,Bangalore,49,Male,9773.54,3.0,68759,107.84
3807,962,2024-06-13 20:57:00,1,1,Home,Chennai,28,Male,4969.84,3.9,77719,57.49
1327,709,2024-09-28 04:52:00,0,0,Toys,Chennai,56,Male,978.06,3.3,85656,201.86
1963,781,2024-12-24 02:18:00,1,0,Books,Bangalore,30,Female,5064.81,3.4,68530,29.43
1190,862,2024-06-28 18:25:00,1,0,Toys,Bangalore,43,Female,3697.23,4.8,73540,28.63
1463,809,2024-10-31 06:19:00,1,0,Electronics,Kolkata,51,Male,4327.5,1.4,88271,287.36
4736,463,2024-01-09 16:47:00,1,0,Electronics,Kolkata,59,Male,9592.39,3.9,72802,40.54
2055,854,2024-06-17 15:27:00,1,0,Electronics,Mumbai,48,Male,1978.74,1.2,95196,210.04
2318,511,2024-04-05 18:21:00,0,0,Electronics,Chennai,25,Female,7367.45,3.3,10808,180.75
3911,776,2024-10-25 22:10:00,0,0,Clothing,Kolkata,39,Male,2408.81,3.3,72661,280.03
4103,172,2024-12-27 15:25:00,1,0,Clothing,Mumbai,23,Male,1247.31,4.4,18503,58.32
3511,334,2024-01-03 02:38:00,1,0,Books,Mumbai,23,Male,9283.78,1.6,17417,29.55
3878,661,2024-01-05 20:54:00,1,0,Electronics,Chennai,34,Female,1468.54,3.2,48188,121.39
4490,359,2024-01-23 07:28:00,1,0,Books,Mumbai,23,Female,5872.8,4.4,29338,134.57
4095,830,2024-03-16 12:00:00,1,0,Books,Bangalore,33,Female,5647.13,3.8,74658,25.76
4690,247,2024-05-29 09:32:00,0,0,Home,Mumbai,42,Male,3561.55,1.1,12115,233.49
1776,992,2024-11-25 04:30:00,1,1,Books,Mumbai,59,Male,799.45,3.2,76052,7.05
1024,602,2024-09-18 09:42:00,1,0,Electronics,Delhi,29,Male,3518.45,2.0,37459,194.29
2118,931,2024-04-25 19:58:00,1,0,Toys,Chennai,36,Male,6407.16,1.1,78563,160.05
1607,488,2024-08-20 00:31:00,1,1,Electronics,Kolkata,38,Male,5343.95,2.6,94173,204.59
4449,284,2024-10-07 15:55:00,0,1,Books,Delhi,54,Male,468.1,3.7,33297,171.39
2574,121,2024-12-17 16:14:00,1,0,Clothing,Chennai,33,Female,3292.9,3.2,79973,49.41
1790,124,2024-01-16 00:25:00,1,0,Home,Kolkata,40,Male,6420.37,2.5,12182,58.56
4556,974,2024-08-15 05:00:00,1,0,Books,Chennai,49,Male,7898.02,2.3,58456,261.42
3055,160,2024-04-08 05:37:00,0,0,Clothing,Kolkata,45,Male,3256.11,1.2,65487,70.21
1203,317,2024-01-22 02:08:00,1,0,Electronics,Bangalore,42,Male,9756.89,2.7,25456,261.58
4893,433,2024-01-22 03:39:00,1,0,Clothing,Chennai,36,Male,1768.2,4.7,56945,87.67
1927,645,2024-07-31 01:51:00,0,0,Books,Delhi,19,Female,2320.18,2.3,20833,234.34
4677,418,2024-05-28 10:44:00,1,0,Electronics,Kolkata,59,Male,5921.13,3.5,29134,115.28
4461,175,2024-09-01 19:35:00,1,0,Home,Kolkata,51,Female,6229.31,4.7,38272,179.81
3215,801,2024-12-14 16:12:00,1,0,Home,Kolkata,19,Male,5155.05,3.2,26637,245.38
4714,159,2024-11-08 02:13:00,1,0,Home,Bangalore,45,Female,3638.14,2.2,27078,141.09
2029,871,2024-04-27 15:40:00,1,1,Home,Bangalore,57,Female,782.31,3.3,92685,30.11
4307,748,2024-08-04 21:10:00,1,0,Clothing,Chennai,44,Male,6106.4,2.4,89275,38.38
2647,850,2024-08-26 10:08:00,0,0,Home,Bangalore,35,Female,7725.96,3.9,34326,236.68
4992,871,2024-02-15 12:35:00,1,0,Electronics,Mumbai,34,Male,6058.75,2.1,61178,280.66
1448,776,2024-02-15 05:59:00,0,0,Books,Mumbai,39,Male,6851.61,3.0,31598,217.95
1469,239,2024-03-25 04:43:00,1,0,Books,Bangalore,54,Male,6185.68,4.6,20992,41.75
4738,323,2024-05-17 19:10:00,0,1,Books,Delhi,34,Female,668.7,1.5,96395,263.81
2528,884,2024-04-11 04:10:00,1,0,Clothing,Kolkata,28,Male,5280.27,3.6,55514,155.38
1511,995,2024-11-02 13:10:00,1,0,Books,Delhi,24,Male,9155.32,4.0,82786,131.32
3011,165,2024-12-20 18:42:00,1,0,Toys,Bangalore,24,Female,5688.3,1.3,77524,195.59
3003,889,2024-01-07 16:48:00,1,1,Clothing,Bangalore,31,Female,6148.99,2.8,17403,77.31
4691,511,2024-02-27 22:41:00,1,1,Toys,Kolkata,52,Male,1930.3,4.1,97991,273.14
1776,501,2024-07-26 03:06:00,0,1,Home,Chennai,55,Female,5380.63,4.3,75248,206.41
2360,646,2024-11-17 12:30:00,1,0,Books,Bangalore,33,Female,9424.97,2.7,95329,268.7
2372,517,2024-03-13 15:29:00,0,0,Toys,Kolkata,37,Female,9913.26,2.9,68926,288.67
1090,964,2024-05-31 11:36:00,0,1,Toys,Chennai,58,Female,4744.35,4.1,65953,240.19
2439,758,2024-10-31 15:15:00,1,0,Electronics,Mumbai,29,Male,9487.91,4.2,63574,275.83
2458,179,2024-12-26 21:34:00,1,0,Clothing,Chennai,46,Female,2038.08,2.8,60819,296.85
4568,797,2024-03-14 19:26:00,1,0,Electronics,Chennai,42,Male,8769.81,4.9,51932,69.89
2266,631,2024-09-05 11:58:00,1,0,Electronics,Delhi,42,Male,3264.32,2.0,21703,9.23
2368,233,2024-01-07 02:53:00,1,1,Books,Delhi,48,Male,8404.98,3.2,32598,157.52
4545,682,2024-04-19 00:18:00,1,1,Clothing,Kolkata,40,Female,8517.13,3.4,77995,280.41
2262,992,2024-04-11 07:46:00,0,1,Home,Delhi,42,Male,3725.61,2.0,93169,109.52
1921,486,2024-03-29 07:53:00,1,0,Toys,Mumbai,55,Female,707.75,3.1,69760,229.32
1170,650,2024-04-30 15:21:00,1,1,Home,Chennai,57,Male,1231.31,3.3,84538,61.12
3278,135,2024-12-05 20:56:00,0,1,Home,Chennai,56,Female,1373.8,3.6,19022,102.66
1902,807,2024-11-13 01:11:00,0,0,Books,Delhi,34,Male,9664.04,4.2,80630,175.87
1726,259,2024-05-23 23:10:00,1,0,Clothing,Chennai,34,Male,1175.3,4.1,10671,177.04
2750,735,2024-10-29 18:26:00,1,0,Toys,Delhi,23,Female,5747.04,4.1,18053,124.54
1771,804,2024-05-06 13:05:00,1,0,Home,Kolkata,48,Female,8490.93,1.9,46239,273.28
3676,268,2024-10-11 17:34:00,1,0,Clothing,Kolkata,20,Female,6397.04,3.6,33884,231.84
1524,699,2024-04-22 15:21:00,0,0,Books,Chennai,59,Male,3387.96,4.0,85369,241.25
4399,805,2024-09-24 01:44:00,1,0,Electronics,Delhi,23,Male,5861.82,2.5,57467,29.78
3870,101,2024-11-08 10:07:00,1,0,Books,Kolkata,42,Male,5052.27,1.2,41695,91.81
